Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
176523,Smt Radha Hospital_HM7,19.28022366,72.88013167,(S1 Rajmandir Complex)_HM7,RFS,Flatbed,8,8,0,0%,Zero utilised
44946,Radha Vallabh_XYU,19.2935454,72.84799447,(Shree Salasar) Radha Vallabh Wing-A_XYU,RFS,High-rise,40,40,0,0%,Zero utilised
44946,Radha Vallabh_XYU,19.2935454,72.84799447,(Shree Salasar) Radha Vallabh Wing-B_XYU,RFS,High-rise,40,28,12,30%,Rest
44946,Radha Vallabh_XYU,19.2935454,72.84799447,(Shree Salasar) Radha Vallabh Wing-C_XYU,RFS,High-rise,40,39,1,3%,Rest
3021,Riddhi Siddhi Aptartments_2OQ,19.22828492,72.84919382,(Shree)Riddhi Siddhi Aptartments_2OQ,RFS,GHS,16,14,2,13%,Rest
195047,1/3 Jitendra Bhavan_KLC,18.95173292,72.82918892,1/3 Jitendra Bhavan_KLC,RFS,Flatbed,32,16,16,50%,Rest
28437,M J Market_SQ0,18.94967573,72.83085868,1/3 Old Hanuman 1st X Lane_SQ0,RFS,Flatbed,32,21,11,34%,Rest
14005,Raja Bahadur Compound_ZAU,18.93051083,72.83322681,1/45 Raja Bahadur Compound_ZAU,RFS,Flatbed,32,11,21,66%,Rest
28264,10 Agritech Industries_OPH,18.95731739,72.81812236,10 Agritech Industries_OPH,RFS,GHS,32,27,5,16%,Rest
8230,B Bahubali Bldg_ZAJ,18.93347951,72.83439044,10/ B Bahubali Bldg_ZAJ,RFS,Flatbed,32,11,21,66%,Rest
101288_1,Building No-10/12_KLI,18.951134,72.83154058,10/12 Agyari Lane_KLI,RFS,High-rise,64,24,40,63%,Rest
101461,Priyadarshni Apartment_KLM,18.95119409,72.83211566,101 Dhanji Street_KLM,RFS,GHS,16,6,10,63%,Rest
46906,Nagdevi Chambers_KLL,18.95164719,72.83384448,101-103 Nagdevi Chambers_KLL,RFS,High-rise,32,16,16,50%,Rest
79811,102 bldg_MSJ,18.95773559,72.83644335,102 bldg cluster_MSJ,RFS,Flatbed,32,28,4,13%,Rest
196571,Tankiwala Bldg_P7K,18.9538771,72.82955405,102 Tankiwala Bldg_P7K,RFS,Flatbed,16,6,10,63%,Rest
25170,26 Daughter Bldg_FQE,18.95364515,72.82792563,106 Rashmi Shop_FQE,RFS,Flatbed,32,10,22,69%,Rest
25167,Bldg No.106/108_KLI,18.95142832,72.83151059,106/108 Building_KLI,RFS,Flatbed,32,15,17,53%,Rest
171460,108 Origin_KC1,19.05358756,72.8914279,108 Origin_KC1,RFS,High-rise,8,8,0,0%,Zero utilised
25168,Ustad Building_KLI,18.9511455,72.8304163,108 Ustad Building_KLI,RFS,Flatbed,64,50,14,22%,Rest
